"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1060501468,,"Real Juice Guava",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788284,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501469,,"Real Juice Litchie",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788286,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501470,,"Real Juice Mango",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788288,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501471,,"Real Juice Apple Nectar",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788290,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501472,,"Real Juice Peach Nectar",,,78.4,80,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788292,,,,"1 lt",78.4,80,1000,,,,,2
1060501473,,"Real Juice Cranberry",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788294,,,,"1 lt",83.3,85,1000,,,,,2
1060501474,,"Real Juice Pineapple",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788296,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501475,,"Real Juice Tomato",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788298,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501476,,"Real JuiceActive 100% Apple",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788300,,,,"1 lt",83.3,85,1000,,,,,2
1060501477,,"Real JuiceActive 100% Orange",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788302,,,,"1 lt",83.3,85,1000,,,,,2
1060501478,,"Tropicana Juicy Apple",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",2,,6.666666667
1025788305,,,,"1 lt",70,75,1000,,,,,6.666666667
1025788304,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1060501479,,"Tropicana Orange",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",2,,6.666666667
1025788308,,,,"1 lt",70,75,1000,,,,,6.666666667
1025788307,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1060501480,,"Tropicana Pineapple",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",2,,6.666666667
1025788311,,,,"1 lt",70,75,1000,,,,,6.666666667
1025788310,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1060501481,,"Tropicana Mixed Fruit",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",2,,6.666666667
1025788314,,,,"1 lt",70,75,1000,,,,,6.666666667
1025788313,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1060501482,,"Tropicana Guava",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",2,,6.666666667
1025788317,,,,"1 lt",70,75,1000,,,,,6.666666667
1025788316,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1060501483,,"Tropicana Litchi",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788319,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501484,,"Tropicana Tomato",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788321,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501485,,"Tropicana Mango",,,17.6,18,1000,"Groceries/Beverages/Juices","TRUE",2,,2.222222222
1025788324,,,,"200 ml",17.6,18,1000,,,,,2.222222222
1025788323,,,,"1 lt",70,75,0,,,,,6.666666667
1060501486,,"Tropicana 100% Apple",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",2,,2
1025788327,,,,"1 lt",83.3,85,1000,,,,,2
1025788326,,,,"200 ml",20.9,22,1000,,,,,5
1060501487,,"Tropicana 100% Orange",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",2,,2
1025788330,,,,"1 lt",83.3,85,1000,,,,,2
1025788329,,,,"200 ml",20.9,22,1000,,,,,5
1060501488,,"Tropicana 100% Grapes",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788332,,,,"1 lt",83.3,85,1000,,,,,2
1060501489,,"Tropicana 100% Mixed Fruit",,,83.3,85,1000,"Groceries/Beverages/Juices","TRUE",1,,2
1025788334,,,,"1 lt",83.3,85,1000,,,,,2
1060501490,,"Frooti",,,24.5,25,1000,"Groceries/Beverages/Juices","TRUE",4,,2
1025788339,,,,"600 ml",24.5,25,1000,,,,,2
1025788338,,,,"1.2 lt",44.1,45,1000,,,,,2
1025788337,,,,"2 lt",68.6,70,1000,,,,,2
1025788336,,,,"200 ml",11.8,12,1000,,,,,1.666666667
1060501491,,"Appy",,,9.8,10,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,2
1025788342,,,,"200 ml",9.8,10,1000,,,,,2
1025788341,,,,"250 ml",12.7,13,1000,,,,,2.307692308
1060501492,,"Appy Fizz",,,26.5,27,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,1.851851852
1025788345,,,,"500 ml",26.5,27,1000,,,,,1.851851852
1025788344,,,,"1 lt",47,48,1000,,,,,2.083333333
1060501493,,"Grappo Fizz",,,19.6,20,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,2
1025788348,,,,"300 ml",19.6,20,1000,,,,,2
1025788347,,,,"500 ml",26.5,27,1000,,,,,1.851851852
1060501494,,"Maaza",,,27.4,28,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,2.142857143
1025788351,,,,"600 ml",27.4,28,1000,,,,,2.142857143
1025788350,,,,"1 lt",49,50,1000,,,,,2
